breakdown step partitionid runtime
InitialComputation 1 74 322
WorkStealingComputation 1 74 1891
InitialComputation 1 75 338
WorkStealingComputation 1 75 1787
InitialComputation 1 76 483
WorkStealingComputation 1 76 1677
InitialComputation 1 77 635
WorkStealingComputation 1 77 1538
InitialComputation 1 78 442
WorkStealingComputation 1 78 1703
InitialComputation 1 79 443
WorkStealingComputation 1 79 1726
InitialComputation 1 80 617
WorkStealingComputation 1 80 1540
InitialComputation 1 81 415
WorkStealingComputation 1 81 1683
InitialComputation 1 82 650
WorkStealingComputation 1 82 1454
InitialComputation 1 83 537
WorkStealingComputation 1 83 1634
InitialComputation 1 84 420
WorkStealingComputation 1 84 1793
InitialComputation 1 85 365
WorkStealingComputation 1 85 1808
InitialComputation 1 86 524
WorkStealingComputation 1 86 1658
InitialComputation 1 87 612
WorkStealingComputation 1 87 1479
InitialComputation 1 88 427
WorkStealingComputation 1 88 1714
InitialComputation 1 89 446
WorkStealingComputation 1 89 1677
InitialComputation 1 90 576
WorkStealingComputation 1 90 1555
InitialComputation 1 91 439
WorkStealingComputation 1 91 1736
InitialComputation 1 92 561
WorkStealingComputation 1 92 1625
InitialComputation 1 93 515
WorkStealingComputation 1 93 1627
InitialComputation 1 94 318
WorkStealingComputation 1 94 1882
InitialComputation 1 95 364
WorkStealingComputation 1 95 1804
InitialComputation 1 96 491
WorkStealingComputation 1 96 1683
InitialComputation 1 97 625
WorkStealingComputation 1 97 1477
InitialComputation 1 98 481
WorkStealingComputation 1 98 1701
InitialComputation 1 99 424
WorkStealingComputation 1 99 1696
InitialComputation 1 100 716
WorkStealingComputation 1 100 1414
InitialComputation 1 101 450
WorkStealingComputation 1 101 1673
InitialComputation 1 102 478
WorkStealingComputation 1 102 1634
InitialComputation 1 103 400
WorkStealingComputation 1 103 1726
InitialComputation 1 104 333
WorkStealingComputation 1 104 1860
InitialComputation 1 105 368
WorkStealingComputation 1 105 1812
InitialComputation 1 106 516
